aptSeq,name,sigungu,dong,identityQuality,coordQuality,eligibility,confidence_coverage,transport,living,education,complex,total_WA,total_WB,total_WC,total_WD
26230-2382,"포세이돈",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,65.7,74.9,68.0,52.8,65.3,65.2,63.5,65.8
26110-46,"동아(160-0)",중구,영주동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,39.8,39.7,34.4,40.6,38.6,38.9,39.0,38.6
26230-2598,"포레나부산초읍",부산진구,초읍동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,22.8,47.9,71.3,82.0,56.0,53.6,58.2,54.0
26230-4540,"양정자이더샵SKVIEW아파트(2단지)",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,59.6,65.1,44.6,89.3,64.6,65.4,68.1,63.9
26230-135,"엘지신개금(2-1)",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,63.0,61.7,77.9,64.0,66.6,65.9,66.1,66.4
26290-2614,"문현동월가아파트",남구,문현동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,70.7,75.5,31.9,80.8,64.7,66.6,67.4,64.8
26230-65,"현대1차",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,44.9,50.4,55.7,64.6,53.9,53.4,55.0,53.3
26230-71,"메리움",부산진구,부암동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,40.6,,,,
26230-2507,"서면라이포레",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,83.4,72.7,64.2,58.9,69.8,70.8,68.8,70.6
26230-240,"서면롯데캐슬스카이",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,85.0,75.8,59.8,66.6,71.8,73.1,71.7,72.5
26230-4542,"래미안어반파크1단지",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,15.2,57.7,65.7,88.8,56.8,54.3,59.5,54.6
26230-2441,"메리온시티",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,69.6,69.0,57.9,57.4,63.5,64.1,62.9,64.0
26230-141,"개금주공2",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.2,24.5,58.0,56.8,41.4,39.8,42.9,40.1
26230-96,"백양뜨란채,주공아파트(1단지)",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.0,29.1,63.7,59.3,44.5,42.6,45.8,43.2
26230-2559,"서면2차봄여름가을겨울",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,79.5,67.2,37.5,78.6,65.7,67.8,68.3,66.0
26230-2866,"양정포레힐즈스위첸1단지",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,44.9,66.8,65.4,88.0,66.3,65.3,68.5,65.0
26230-108,"벽산1",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.9,48.1,73.0,51.8,50.4,48.2,49.6,49.5
26230-66,"현대2차",부산진구,양정동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,59.3,62.2,75.5,40.6,59.4,58.6,56.6,59.8
26230-2464,"서면DS·협성엘리시안아파트",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,46.4,47.6,31.5,75.6,50.3,51.0,53.9,49.6
26230-1857,"연지자이2차",부산진구,연지동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,18.2,57.2,62.5,65.0,50.7,48.5,51.2,49.3
26230-95,"개금주공3단지",부산진구,당감동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,31.8,54.5,74.7,24.8,46.5,44.3,42.5,46.5
26230-1790,"마제스타워서면",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,30.0,56.8,58.0,60.6,51.4,50.0,51.7,50.4
26290-261,"동림리라",남구,우암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,47.0,34.3,40.5,27.1,37.2,37.6,36.2,37.8
26260-2109,"온천천경동리인타워",동래구,낙민동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,70.9,44.3,64.2,73.5,63.2,63.5,65.1,62.9
26470-1331,"해운파크빌",연제구,연산동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,50.0,81.3,78.7,49.7,64.9,63.5,61.9,65.0
26230-2437,"영림로즈빌",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,74.5,60.5,56.5,50.1,60.4,61.3,59.6,61.2
26230-2854,"서면비스타동원",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,37.8,58.7,44.5,86.2,56.8,56.5,60.3,55.5
26230-118,"이화",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,48.3,43.2,34.7,31.6,39.5,40.1,38.7,40.0
26230-127,"개금우드빌",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.4,22.1,48.5,50.4,36.4,35.2,37.9,35.3
26230-23,"화신거화2",부산진구,전포동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,40.8,40.6,22.9,35.2,34.9,35.8,35.2,35.2
26230-34,"청구",부산진구,연지동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,17.6,49.3,37.9,44.2,37.2,36.2,37.3,36.6
26230-2582,"가야동그린시티",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,84.0,49.8,55.6,66.1,63.9,65.3,65.2,64.4
26230-2541,"더샵골드6",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.1,62.2,65.6,57.8,60.9,60.6,60.3,60.9
26230-354,"두산위브센티움",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,55.0,75.6,69.8,59.2,64.9,64.2,63.6,64.9
26230-1802,"서면세종그랑시아",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,76.6,66.7,67.7,67.1,69.5,70.0,69.5,69.8
26230-131,"성도",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.8,32.7,61.9,47.1,41.9,40.1,41.9,40.9
26230-2456,"서면TK골드뷰",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,43.0,65.2,70.2,55.0,58.4,57.0,57.1,58.0
26230-355,"대동레미안",부산진구,범천동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,64.4,71.5,48.7,53.2,59.4,60.2,58.8,60.0
26230-1727,"에스엔디파인빌",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,61.7,71.4,75.4,52.2,65.2,64.5,63.0,65.4
26230-144,"한진",부산진구,개금동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,28.2,42.9,63.5,29.8,41.1,39.3,38.8,40.8
26230-104,"가야삼정그린코아",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,33.3,48.1,50.6,56.1,47.1,46.2,47.7,46.4
26230-1906,"삼정그린코아",부산진구,초읍동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,65.0,,,,
26230-2048,"서면블리체",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,50.1,69.9,76.8,58.8,63.9,62.6,62.5,63.6
26230-1452,"다산몽레브",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,51.8,64.9,48.8,39.6,51.3,51.4,49.5,51.8
26230-2600,"연지보해이브더파크",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,37.2,56.3,67.7,69.0,57.5,56.0,58.2,56.5
26230-1943,"더블루오피스텔",부산진구,전포동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,67.2,,,,
26230-2472,"범내골역이즈팰리스",부산진구,범천동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,80.8,66.5,68.0,78.4,73.4,74.1,74.5,73.5
26230-2386,"메리온시티",부산진구,전포동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,76.0,,,,
26230-2444,"가야누리애",부산진구,범천동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,57.1,73.4,67.6,78.4,69.1,68.6,69.9,68.6
26230-93,"삼익아파트",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.9,64.3,71.4,39.8,51.3,49.3,48.5,51.0
26230-2063,"서면앙쥬빌주상복합",부산진구,전포동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,74.4,74.7,59.9,67.2,69.0,69.8,69.0,69.4
26500-100,"복음",수영구,망미동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.5,41.1,60.1,23.2,38.2,36.7,35.5,38.2
26230-37,"연지2청구",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,0.75,,49.2,42.9,61.1,51.0,51.6,53.0,50.7
26230-1882,"부산서면동문굿모닝힐",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,52.6,74.2,50.4,74.4,62.9,63.0,64.1,62.5
26230-2484,"서면동일파크스위트3차",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,34.4,55.3,75.2,78.2,60.8,58.7,62.1,59.3
26230-84,"협성피닉스타운",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,16.6,45.6,45.9,56.8,41.2,39.8,42.3,40.0
26230-146,"개금아이파크",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,45.1,63.4,73.5,68.0,62.5,61.1,62.4,61.7
26230-2575,"범일역이즈",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,73.9,71.0,49.5,65.9,65.1,66.3,65.6,65.5
26230-2646,"e편한세상서면더센트럴",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,43.4,35.7,67.7,84.8,57.9,56.7,61.2,56.3
26230-1,"네오스포",부산진구,부전동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,42.4,,,,
26230-54,"한신",부산진구,초읍동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.1,39.6,61.0,51.6,44.6,42.8,44.7,43.6
26230-2120,"강진융프라우",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,81.2,69.6,70.1,59.6,70.1,70.7,69.1,70.8
26350-35,"센텀삼익아파트",해운대구,재송동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,65.8,64.8,78.9,40.0,62.4,61.7,59.2,63.0
26230-254,"한신센타뷰",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,60.0,61.6,57.8,48.2,56.9,57.0,55.7,57.3
26230-357,"경동",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,18.8,58.0,49.2,53.2,44.8,43.3,44.7,43.8
26230-2325,"수목하우스",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,88.7,75.2,69.8,55.0,72.2,73.1,70.4,73.2
26230-2395,"동양팰리스",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.4,71.6,60.7,62.8,62.9,62.7,62.5,62.8
26230-1703,"서면이-편한세상",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,75.7,70.0,61.6,70.3,69.4,70.1,69.8,69.6
26230-2428,"개금역스마트더블유",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,71.9,66.7,63.6,68.5,67.7,68.1,68.0,67.8
26230-2603,"협성휴포레시티즌파크",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.6,58.8,67.5,78.3,58.1,56.1,59.6,56.5
26230-2523,"개금역금강펜테리움더스퀘어아파트",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,88.6,72.0,73.6,79.6,78.4,79.2,79.1,78.7
26230-2641,"시민공원일동미라주시티",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,41.8,60.5,67.7,77.1,61.8,60.5,63.1,60.6
26230-133,"시영(1~5동)",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,49.2,62.6,76.4,31.2,54.9,53.5,51.0,55.3
26230-179,"경원프라우드-2",부산진구,전포동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,78.8,61.7,72.7,49.6,65.7,66.0,63.9,66.5
26230-243,"서면베르빌2",부산진구,범천동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,75.7,68.2,57.5,51.4,63.2,64.1,62.1,64.0
26230-2856,"롯데캐슬라센트",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,0.75,,50.6,52.3,89.0,64.0,64.8,69.0,62.9
26500-1368,"카라디움",수영구,민락동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,67.7,73.1,42.5,42.6,56.5,57.7,55.0,57.5
26230-36,"화인",부산진구,연지동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,27.1,44.0,37.7,37.0,36.4,35.9,36.1,36.2
26230-85,"화승",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.7,68.7,69.4,62.1,56.5,54.3,55.8,55.4
26230-1861,"더샵센트럴스타",부산진구,부전동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,59.7,73.0,49.9,65.0,61.9,62.4,62.2,62.0
26230-2070,"백양산삼정그린코아",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,11.9,28.7,56.7,62.1,39.8,37.6,41.8,38.0
26230-2599,"서면3차봄여름가을겨울",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,68.7,62.0,55.0,77.6,65.8,66.5,67.7,65.6
26230-55,"한일맨션",부산진구,초읍동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,23.9,51.1,65.4,35.1,43.9,41.8,41.5,43.4
26230-1706,"현호네오빌",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.6,65.9,81.9,42.6,62.2,61.1,59.1,62.6
26230-212,"한웅인터빌",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,72.1,62.0,79.2,61.4,68.6,68.3,67.7,68.8
26230-2645,"서면스위트엠골드에비뉴",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,65.0,72.0,60.0,73.6,67.6,67.9,68.4,67.5
26230-1709,"일동미라주",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,40.8,55.9,59.4,62.9,54.7,53.8,55.3,54.1
26230-87,"국제프라자",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.6,41.1,64.2,50.1,46.0,44.2,45.7,45.1
26230-58,"백조",부산진구,양정동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,82.5,70.7,75.9,17.6,61.7,62.0,56.1,63.6
26230-86,"국제백양",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.9,41.3,55.1,60.9,45.5,44.0,46.8,44.3
26230-31,"세동한신",부산진구,연지동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,25.6,54.4,72.2,35.2,46.8,44.5,44.0,46.4
26230-1636,"타워베르빌",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,45.3,59.9,75.3,65.8,61.6,60.1,61.4,60.8
26230-145,"현대",부산진구,개금동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,38.5,35.9,69.8,29.8,43.5,41.9,41.2,43.4
26230-128,"동원화인패밀리",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.0,45.7,79.3,59.7,52.4,49.7,52.2,51.1
26230-89,"동원타워",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.6,56.5,60.5,44.8,47.1,45.4,45.7,46.5
26230-2574,"개금동포르투나",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,85.7,73.3,67.0,66.5,73.1,74.1,72.8,73.8
26230-106,"동원",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,38.3,57.0,81.0,38.5,53.7,51.6,50.7,53.5
26230-124,"화신",부산진구,가야동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,51.1,61.4,50.4,54.2,54.3,54.3,54.1,54.3
26230-11,"서면한신",부산진구,전포동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,70.6,72.4,68.4,60.1,67.9,68.0,66.9,68.2
26230-2434,"양정클래스원",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,76.3,69.7,66.3,58.6,67.7,68.2,66.8,68.3
26230-239,"쌍용스윗닷홈",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,17.4,15.3,73.1,69.0,43.7,40.9,46.2,41.6
26230-363,"글로벌타워",부산진구,개금동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,86.4,72.0,68.2,45.4,68.0,68.9,65.5,69.3
26230-2845,"서면롯데캐슬엘루체",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,62.3,77.9,84.2,85.1,77.4,76.3,77.8,76.6
26500-1809,"성우센텀스카이뷰비",수영구,광안동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.2,71.0,38.3,52.0,54.9,55.9,54.6,55.4
26230-221,"블루스카이빌(159-3)",부산진구,초읍동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,25.9,53.0,73.5,47.8,50.1,47.7,48.5,49.2
26230-2596,"연지에코팰리스",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,41.6,41.6,41.3,69.9,48.6,48.6,51.5,47.8
26230-2291,"산들파르테",부산진구,양정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,61.3,73.9,54.1,49.5,59.7,60.1,58.3,60.3
26230-109,"벽산2",부산진구,가야동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,39.2,59.6,71.4,29.8,50.0,48.4,46.4,50.2
26230-2459,"서면동일파크스위트2차",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.9,68.8,68.6,68.9,57.8,55.6,57.8,56.5
26230-1673,"백양산월드메르디앙",부산진구,부암동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.1,29.3,78.2,59.8,48.1,45.5,48.7,46.6
26230-2850,"e편한세상시민공원1단지",부산진구,전포동,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,53.2,55.2,64.5,92.0,66.2,65.6,69.4,65.0
26230-2555,"리츠캐슬",부산진구,범천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,59.4,76.1,71.2,62.5,67.3,66.7,66.2,67.3
26230-26,"로얄",부산진구,연지동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,20.8,57.7,72.3,39.4,47.5,44.9,45.0,46.8
26230-352,"한솔폴라리스",부산진구,부전동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,64.1,84.4,73.1,61.2,70.7,70.3,68.9,70.9
26230-99,"태화현대1",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,76.8,52.7,49.9,58.7,59.5,60.9,60.3,60.1
26230-97,"백양푸른채",부산진구,당감동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.9,22.5,53.4,58.8,40.1,38.8,42.2,38.8
26230-40,"초읍그린",부산진구,초읍동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.4,45.3,82.5,35.6,47.4,44.6,44.6,46.8
