aptSeq,name,sggCd,umdName,prodTotal,shadowTotal,prodTransport,shadowTransport
26470-44,"공영",26470,연산동,57,,78.99,
26470-2,"거제아파트",26470,거제동,47,47,57.87,59.07
26470-71,"부영맨션",26470,연산동,39,39,28.80,28.52
26470-104,"한독",26470,연산동,41,42,52.30,53.20
26470-185,"창성골든빌에이동",26470,연산동,50,51,60.30,62.25
26470-154,"송파지오스4",26470,연산동,42,42,26.58,26.40
26470-82,"성림(1829-11)",26470,연산동,41,46,62.11,62.56
26260-71,"서전",26260,온천동,34,35,26.69,27.31
26470-130,"새둥지빌라(1405-26)",26470,연산동,54,56,53.82,55.86
26470-103,"태광(405-4)",26470,연산동,25,29,10.88,10.82
26470-1049,"에이젠아파트",26470,연산동,53,53,42.62,43.61
26470-1034,"양지마을",26470,연산동,40,,27.47,
26470-134,"병산한마음빌",26470,거제동,48,,49.52,
26470-245,"신화시티빌",26470,연산동,49,,45.95,
26470-27,"진흥목화",26470,거제동,38,39,24.95,26.15
26470-1297,"디아이하우스",26470,연산동,60,,68.37,
26470-148,"석주아트빌",26470,연산동,47,,41.12,
26470-1008,"홍익푸르미",26470,연산동,70,,75.70,
26470-119,"홍림빌리지",26470,연산동,68,,83.58,
26470-117,"라인빌라트",26470,연산동,42,,29.68,
26470-224,"창광빌리지(1293-18)",26470,연산동,67,68,74.68,76.13
26470-21,"산호(1462-3)",26470,거제동,34,34,30.28,29.86
26470-61,"동서연천타워",26470,연산동,31,32,22.24,21.84
26470-286,"성연파크",26470,연산동,47,,31.86,
26500-1929,"광안예서더불어",26500,광안동,55,55,63.86,62.77
26500-1945,"세종엠스테이3차",26500,광안동,69,69,78.98,78.52
26500-2131,"월드파크5",26500,광안동,39,40,27.55,28.46
26500-2245,"남천우성스마트시티뷰",26500,남천동,47,45,36.44,35.38
26500-2479,"테넌바움294",26500,민락동,51,53,42.79,45.35
26500-6,"금보빌라타운",26500,광안동,21,21,19.03,19.76
26500-116,"이편한세상1차",26500,망미동,43,43,53.63,53.63
