aptSeq,name,sigungu,transport_T1,transport_T3,total_T1,total_T3
26440-19,"퀸덤1차아인슈타인타운",강서구,23.4,17.2,58.8,57.2
26440-31,"부산신호사랑으로부영2차",강서구,26.8,19.5,49.5,47.7
26440-120,"명지화전우방아이유쉘",강서구,28.4,20.6,41.3,39.4
26440-94,"유나베네스1차",강서구,21.7,16.2,37.9,36.5
26440-128,"공항마을리베르하임주상복합",강서구,55.7,55.6,51.9,51.8
26440-27,"부산신호사랑으로부영1차",강서구,24.6,18.1,46.1,44.5
26440-112,"우창더뷰",강서구,84.7,85.7,51.6,51.8
26110-9,"새들맨션",중구,51.5,47.4,56.6,55.6
26110-42,"흥아거북",중구,49.2,45.1,49.3,48.3
26110-32,"동아(92-0)",중구,43.8,37.8,40.9,39.4
26110-38,"은하아파트",중구,43.9,39.2,35.6,34.4
26110-904,"미소지음주상복합",중구,48.6,46.4,61.1,60.6
26110-65,"경우빌라",중구,43.4,43.4,47.6,47.6
26110-40,"초원",중구,54.6,52.6,50.5,50.0
26110-939,"선경에이스",중구,52.8,51.3,65.7,65.3
26110-901,"부평파크",중구,73.3,72.8,66.9,66.8
26110-947,"목연정M팰리스",중구,67.9,67.1,69.8,69.6
26110-893,"보수2차봄여름가을겨울",중구,46.3,46.3,60.9,60.9
26110-48,"그린빌",중구,43.6,41.6,54.1,53.7
26110-33,"동주파크",중구,38.9,33.0,32.2,30.7
26110-888,"미소지움아파트",중구,52.6,48.9,62.6,61.7
26110-51,"대근하버빌타운",중구,63.0,60.6,60.0,59.4
26110-943,"보수에코팰리스",중구,56.4,55.2,65.7,65.4
26110-781,"대암보수맨션",중구,45.6,39.9,52.2,50.8
26110-942,"엘스퀘어",중구,60.2,59.5,53.9,53.7
26110-29,"신생",중구,50.3,50.7,50.6,50.7
26110-843,"보수동한웅베어스",중구,54.6,51.0,62.9,62.0
26110-905,"부평부백자연애",중구,72.5,72.0,66.4,66.3
26110-837,"그린시티",중구,55.2,51.2,65.3,64.3
26110-24,"부평",중구,57.7,54.2,52.9,52.0
26170-827,"범양레우스센트럴베이",동구,85.0,85.6,69.4,69.6
26170-628,"두산위브범일뉴타운",동구,69.3,69.3,58.1,58.1
26170-809,"오션브릿지",동구,61.6,59.3,67.6,67.0
26170-860,"두산위브더제니스하버시티",동구,64.2,62.5,64.5,64.0
26170-675,"진흥마제스타워범일",동구,78.1,77.0,61.0,60.8
26170-841,"부산항일동미라주더오션(1지구)",동구,76.5,76.8,62.7,62.8
26170-825,"e편한세상부산항",동구,65.4,64.2,69.0,68.7
26170-826,"협성휴포레부산진역오션뷰",동구,86.9,88.0,70.2,70.5
26170-813,"좌천서린엘마르더뷰",동구,35.4,35.4,47.5,47.5
26110-30,"금호",중구,42.5,36.3,43.9,42.3
26110-2,"부원",중구,62.5,59.0,50.7,49.8
26170-10,"화신1",동구,30.1,30.1,33.2,33.2
26170-38,"한성기린",동구,72.9,71.3,63.3,62.9
26170-802,"센텀동원2차",동구,83.6,84.1,61.1,61.2
26170-815,"지원더뷰오션1차",동구,65.4,66.5,53.3,53.6
26170-807,"린다스마트포레",동구,79.9,82.5,61.5,62.1
26170-781,"오름CASTLE",동구,69.9,68.6,62.8,62.4
26170-3,"동일파크",동구,46.5,43.2,40.2,39.4
26170-834,"초량베스티움센트럴베이",동구,51.8,50.4,66.8,66.4
26170-26,"아르미나아파트",동구,42.7,37.8,51.1,49.8
26170-31,"동원드림타운",동구,61.4,60.4,58.4,58.1
26170-8,"초량마마맨션",동구,47.3,47.3,49.9,49.9
26170-21,"덕림아파트",동구,47.6,42.4,47.4,46.1
26170-24,"수성아파트(440-0)",동구,40.3,33.8,41.8,40.2
26170-789,"범일역이즈팰리스",동구,69.8,68.4,58.9,58.6
26170-618,"좌천시민(741-1)",동구,49.9,50.9,45.2,45.5
26170-77,"좌천시민(737-1)",동구,54.1,56.5,48.4,49.0
26170-85,"아름빌102동",동구,52.8,48.3,48.7,47.6
26170-9,"초원",동구,72.3,75.9,54.4,55.3
26170-793,"베스안하우스2차",동구,55.1,52.7,57.5,56.9
26170-801,"오션스타",동구,59.9,65.5,63.1,64.5
26170-864,"북항에코하임센트럴뷰",동구,64.0,63.5,64.7,64.6
26170-805,"금초파크",동구,56.6,56.6,52.6,52.6
26170-824,"지원더뷰오션2차",동구,58.9,59.4,53.0,53.1
26170-62,"영림",동구,48.7,45.8,45.4,44.6
26170-629,"예그린",동구,55.8,61.6,61.0,62.5
26170-731,"봄여름가을겨울",동구,71.4,69.2,60.2,59.7
26170-46,"한사랑빌라트",동구,55.5,60.4,57.8,59.0
26170-780,"남평N-CITY",동구,53.8,53.8,47.0,47.0
26170-799,"장원하이드파크",동구,62.9,63.5,50.7,50.8
26170-33,"제일",동구,53.6,53.7,48.4,48.5
26170-29,"협성파크",동구,42.5,36.1,37.0,35.4
26170-69,"대근아트빌라(355-1)",동구,56.9,55.5,49.1,48.8
26170-769,"베스안하우스",동구,82.4,81.8,64.8,64.7
26170-67,"배룡비치텔",동구,58.5,63.2,59.2,60.3
26200-768,"영도센트럴에일린의뜰",영도구,23.4,17.3,57.1,55.6
