aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26230-1706,"현호네오빌",부산진구,11-20,<100,MISSING,62.2,42.6
26230-212,"한웅인터빌",부산진구,21-30,300-499,MISSING,68.6,61.4
26230-2645,"서면스위트엠골드에비뉴",부산진구,0-10,100-299,KNOWN,67.6,73.6
26230-1709,"일동미라주",부산진구,11-20,100-299,KNOWN,54.7,62.9
26230-87,"국제프라자",부산진구,31+,100-299,MISSING,46.0,50.1
26230-58,"백조",부산진구,31+,unknown,MISSING,61.7,17.6
26230-86,"국제백양",부산진구,31+,1000+,MISSING,45.5,60.9
26230-31,"세동한신",부산진구,31+,unknown,MISSING,46.8,35.2
26230-1636,"타워베르빌",부산진구,21-30,500-999,MISSING,61.6,65.8
26230-145,"현대",부산진구,31+,unknown,MISSING,43.5,29.8
26230-128,"동원화인패밀리",부산진구,31+,500-999,MISSING,52.4,59.7
26230-89,"동원타워",부산진구,31+,100-299,MISSING,47.1,44.8
26230-2574,"개금동포르투나",부산진구,0-10,100-299,MISSING,73.1,66.5
26230-106,"동원",부산진구,31+,100-299,MISSING,53.7,38.5
26230-124,"화신",부산진구,21-30,100-299,KNOWN,54.3,54.2
26230-11,"서면한신",부산진구,21-30,500-999,MISSING,67.9,60.1
26230-2434,"양정클래스원",부산진구,0-10,<100,MISSING,67.7,58.6
26230-239,"쌍용스윗닷홈",부산진구,21-30,500-999,KNOWN,43.7,69.0
26230-363,"글로벌타워",부산진구,21-30,<100,MISSING,68.0,45.4
26230-2845,"서면롯데캐슬엘루체",부산진구,0-10,300-499,KNOWN,77.4,85.1
26500-1809,"성우센텀스카이뷰비",수영구,11-20,<100,MISSING,54.9,52.0
26230-221,"블루스카이빌(159-3)",부산진구,21-30,unknown,MISSING,50.1,47.8
26230-2596,"연지에코팰리스",부산진구,0-10,100-299,MISSING,48.6,69.9
26230-2291,"산들파르테",부산진구,11-20,<100,MISSING,59.7,49.5
26230-109,"벽산2",부산진구,31+,unknown,MISSING,50.0,29.8
26230-2459,"서면동일파크스위트2차",부산진구,0-10,100-299,KNOWN,57.8,68.9
26230-1673,"백양산월드메르디앙",부산진구,11-20,300-499,KNOWN,48.1,59.8
26230-2850,"e편한세상시민공원1단지",부산진구,0-10,unknown,MISSING,66.2,92.0
26230-2555,"리츠캐슬",부산진구,0-10,<100,MISSING,67.3,62.5
26230-26,"로얄",부산진구,31+,100-299,MISSING,47.5,39.4
26230-352,"한솔폴라리스",부산진구,21-30,300-499,MISSING,70.7,61.2
26230-99,"태화현대1",부산진구,21-30,500-999,MISSING,59.5,58.7
26230-97,"백양푸른채",부산진구,21-30,1000+,KNOWN,40.1,58.8
26230-40,"초읍그린",부산진구,31+,<100,MISSING,47.4,35.6
26230-1733,"쌍용스윗닷홈스카이",부산진구,11-20,500-999,KNOWN,59.3,69.5
26230-245,"서면노르웨이아침",부산진구,21-30,500-999,MISSING,61.8,64.6
26230-2368,"홍림로얄뷰",부산진구,11-20,<100,MISSING,60.5,57.6
26230-230,"부암동리젠트힐",부산진구,21-30,<100,MISSING,52.1,44.2
26230-2305,"다온미즈",부산진구,11-20,100-299,MISSING,61.2,59.6
26230-1751,"연지자이",부산진구,11-20,500-999,KNOWN,50.8,68.2
26230-246,"대우디오빌1",부산진구,21-30,unknown,MISSING,66.4,51.4
26230-1995,"가야삼한사랑채",부산진구,11-20,100-299,KNOWN,57.2,55.7
26530-1012,"사상센텀아파트",사상구,0-10,<100,MISSING,66.3,56.3
26530-1021,"대상로웰아파트",사상구,0-10,<100,MISSING,68.4,62.5
26230-2565,"에스제이파베르",부산진구,0-10,unknown,MISSING,69.2,83.2
26230-1976,"범일역풍림아이원",부산진구,11-20,100-299,MISSING,65.2,63.8
26230-42,"대진파레스필즈",부산진구,31+,100-299,KNOWN,22.5,40.0
26230-75,"삼부본동",부산진구,31+,<100,MISSING,48.9,22.0
26230-2461,"대동레미안더오션",부산진구,0-10,<100,MISSING,60.6,59.6
26230-1999,"동아블루시아",부산진구,11-20,<100,MISSING,50.4,45.6
26230-91,"백산",부산진구,31+,100-299,MISSING,55.5,41.1
26230-1998,"서면센트리움",부산진구,11-20,<100,MISSING,54.5,47.8
26230-1669,"롯데갤러리움",부산진구,11-20,100-299,MISSING,66.2,59.3
26230-170,"동연아미가",부산진구,21-30,<100,MISSING,66.6,45.5
26230-81,"일성인포",부산진구,21-30,500-999,MISSING,58.7,57.9
26230-67,"송백그린",부산진구,21-30,<100,MISSING,63.9,34.5
26230-1634,"신화골든뷰",부산진구,21-30,<100,MISSING,59.9,45.4
26230-178,"동조리젠시",부산진구,21-30,unknown,MISSING,54.1,49.6
26230-2328,"한진스카이뷰",부산진구,11-20,<100,MISSING,65.8,59.8
26230-2316,"골든엠파이어",부산진구,11-20,<100,MISSING,61.3,49.4
26230-242,"대원플러스빌",부산진구,21-30,<100,MISSING,68.0,45.0
26230-2527,"세원秀아파트",부산진구,0-10,unknown,MISSING,65.7,80.8
26230-39,"덕인디오네빌",부산진구,21-30,<100,MISSING,47.7,40.9
26230-30,"삼익아파트",부산진구,31+,100-299,MISSING,43.1,31.1
26350-133,"해운대 센트럴파크",해운대구,21-30,500-999,KNOWN,58.9,55.8
26230-1641,"삼익(10,11동)",부산진구,31+,100-299,MISSING,50.8,30.0
26230-2560,"서면루미랑스",부산진구,0-10,unknown,MISSING,64.3,83.2
26530-1046,"천아하늘정원",사상구,0-10,<100,MISSING,67.3,60.8
26230-2593,"가야누리애더센트리즈",부산진구,0-10,unknown,MISSING,74.0,85.6
26230-2624,"서면지원더뷰파크",부산진구,0-10,100-299,MISSING,60.7,74.6
26230-2387,"성원더프라임아파트",부산진구,0-10,<100,MISSING,65.7,58.5
26230-264,"삼성비치타운",부산진구,21-30,<100,MISSING,67.7,45.8
26230-217,"탑패밀리",부산진구,21-30,100-299,MISSING,68.9,50.2
26230-2853,"서면동원시티비스타",부산진구,0-10,100-299,MISSING,76.6,75.1
26230-2567,"전포유림노르웨이숲",부산진구,0-10,100-299,MISSING,68.2,68.1
26230-1592,"개금우드빌(1-9)",부산진구,31+,300-499,MISSING,43.9,50.2
26230-78,"성암",부산진구,31+,<100,MISSING,48.4,19.8
26230-226,"화지빌라트",부산진구,21-30,unknown,MISSING,36.9,47.8
26230-92,"삼성",부산진구,31+,100-299,MISSING,49.2,34.5
26230-2583,"대능더에스티지",부산진구,0-10,<100,MISSING,68.6,65.0
26230-1672,"유림노르웨이숲",부산진구,11-20,100-299,KNOWN,42.4,55.2
26230-1974,"서면엘리시움",부산진구,11-20,<100,MISSING,66.4,49.1
26230-122,"한일하나로",부산진구,31+,100-299,MISSING,53.5,35.7
26350-2216,"센텀협성르네상스타운",해운대구,11-20,300-499,KNOWN,65.5,70.6
26230-1690,"한일유앤아이(890-1)",부산진구,11-20,unknown,MISSING,66.9,55.0
26230-207,"서면베스트빌",부산진구,21-30,unknown,MISSING,60.0,49.6
26230-22,"화신거화",부산진구,31+,100-299,MISSING,37.9,38.8
26230-2250,"수정캐슬",부산진구,11-20,<100,MISSING,66.0,49.5
26230-167,"새롬하이빌2차",부산진구,21-30,unknown,MISSING,53.0,49.6
26230-2385,"서면팰리스",부산진구,0-10,<100,MISSING,58.7,53.6
26230-2270,"유성해네스타워",부산진구,11-20,100-299,MISSING,71.2,60.7
26230-2549,"개금동아이리스5차애비뉴",부산진구,0-10,<100,MISSING,65.1,59.1
26230-389,"대훈아트빌",부산진구,21-30,<100,MISSING,46.6,35.5
26230-2440,"더샵골드5",부산진구,0-10,<100,MISSING,64.2,53.1
26230-1591,"시영(12~17동)",부산진구,31+,100-299,MISSING,55.1,34.6
26230-2546,"우일아내트",부산진구,0-10,<100,MISSING,65.7,62.1
26230-154,"세인한아름",부산진구,31+,<100,MISSING,43.6,35.9
26230-28,"봉황",부산진구,31+,<100,MISSING,48.6,29.9
26230-205,"동광하이빌(106)",부산진구,21-30,<100,MISSING,51.6,31.8
26230-375,"골든",부산진구,31+,<100,MISSING,55.8,17.0
26230-2343,"평광우리가",부산진구,11-20,100-299,MISSING,61.5,61.5
26230-126,"대동",부산진구,21-30,100-299,KNOWN,41.7,51.7
26230-2111,"양정이즈팰리스",부산진구,11-20,<100,MISSING,70.1,54.2
26230-15,"우영",부산진구,31+,<100,MISSING,46.0,24.0
26230-213,"청아",부산진구,21-30,<100,MISSING,69.0,46.4
26230-208,"아세만화니트",부산진구,21-30,<100,KNOWN,53.2,44.4
26230-152,"서면항도타워맨션",부산진구,31+,100-299,MISSING,58.4,44.2
26230-2436,"범천동이즈팰리스",부산진구,0-10,unknown,MISSING,71.9,76.0
26230-88,"동원",부산진구,31+,unknown,MISSING,50.9,15.2
26230-2532,"허브팰리스",부산진구,0-10,<100,MISSING,64.4,59.5
26230-25,"한성시티빌",부산진구,21-30,<100,MISSING,61.9,41.3
26230-247,"해오름2차",부산진구,21-30,<100,MISSING,64.3,41.0
26230-189,"태석해오름A",부산진구,21-30,unknown,MISSING,65.3,49.6
26230-2485,"수목하우스",부산진구,0-10,unknown,MISSING,64.0,78.4
26230-82,"한림",부산진구,31+,<100,MISSING,33.1,24.9
26230-2544,"더블루",부산진구,0-10,100-299,MISSING,63.7,65.2
26230-192,"보영미네르빌",부산진구,21-30,100-299,MISSING,66.9,47.9
26230-120,"진성",부산진구,31+,100-299,MISSING,50.0,36.1
26230-182,"동아",부산진구,21-30,<100,MISSING,50.6,39.9
26230-2398,"린다비스타",부산진구,0-10,<100,MISSING,50.7,54.4
26230-2469,"스타파크",부산진구,0-10,<100,MISSING,64.2,57.2
26230-2370,"전포센티움",부산진구,11-20,<100,MISSING,69.2,48.4
26230-1980,"대성문퀸즈더블유",부산진구,11-20,<100,KNOWN,64.6,52.8
26230-168,"동양크리스탈",부산진구,21-30,<100,MISSING,56.6,37.6
26230-105,"국민",부산진구,31+,100-299,MISSING,59.5,29.4
26230-2355,"리첸타워",부산진구,11-20,<100,MISSING,41.4,49.1
26230-60,"산호맨션",부산진구,31+,unknown,MISSING,55.6,19.2
26230-201,"전원타워빌",부산진구,21-30,unknown,MISSING,62.2,46.0
26230-2822,"래미안어반파크아파트",부산진구,0-10,unknown,MISSING,70.4,90.0
26350-123,"롯데3차",해운대구,21-30,500-999,KNOWN,66.5,57.4
26230-1796,"대원빌라2차",부산진구,11-20,unknown,MISSING,64.6,61.0
26230-129,"반도보라맨션",부산진구,31+,300-499,MISSING,52.5,53.9
26230-2611,"(292-28)",부산진구,0-10,<100,MISSING,45.2,56.6
26230-2233,"몽뜨레",부산진구,11-20,100-299,MISSING,67.3,66.7
26230-260,"건오힐타워",부산진구,21-30,<100,MISSING,62.8,44.6
26230-2517,"연지센트럴파크",부산진구,0-10,<100,MISSING,45.0,54.4
26230-386,"남경(177-210)",부산진구,21-30,unknown,MISSING,65.3,47.8
26230-2621,"그린센트",부산진구,0-10,100-299,MISSING,59.9,69.8
26230-235,"동남주상복합",부산진구,21-30,<100,MISSING,47.2,36.4
26230-190,"서면그린빌",부산진구,21-30,<100,MISSING,62.5,41.6
26230-2450,"태영아너스",부산진구,0-10,<100,MISSING,65.1,57.3
26230-209,"덕포그랜드힐",부산진구,21-30,<100,MISSING,63.7,38.2
26230-2067,"시티파크",부산진구,11-20,<100,MISSING,64.5,49.7
26230-1890,"홍림로즈빌",부산진구,11-20,<100,MISSING,55.0,43.8
26230-259,"청보",부산진구,21-30,<100,MISSING,63.4,36.9
26230-153,"성림타워",부산진구,31+,100-299,MISSING,52.1,40.5
26230-44,"선경",부산진구,31+,300-499,MISSING,44.8,40.8
26230-262,"새한아트빌",부산진구,21-30,unknown,MISSING,66.1,49.6
26350-129,"상록",해운대구,21-30,1000+,KNOWN,66.6,58.4
26230-16,"일산(317-40)",부산진구,31+,unknown,MISSING,37.1,16.0
26230-268,"모닝빌라트",부산진구,21-30,unknown,MISSING,55.4,49.6
26260-23,"조성하이츠",동래구,21-30,100-299,KNOWN,50.7,44.6
26350-2580,"센텀KCC스위첸",해운대구,0-10,500-999,KNOWN,61.3,82.8
