id,aptSeq,mgmBldrgstPk,name,normalizedName,sido,sigungu,sggCd,umdName,umdCd,jibun,roadAddress,jibunAddress,latitude,longitude,geocodeQuality,buildYear,useApprovalDate,mainBuildingCount,totalHouseholds,parkingCount,createdAt,updatedAt
1958,26140-1040,,서영펠로우,서영펠로우,부산,서구,26140,토성동5가,11800,19-1,,,35.0979249412851,129.021837914183,normalized,2012,,,,,2026-08-13T07:43:55.950Z,2026-08-13T12:23:54.713Z
2001,26140-105,,송도타워맨션,송도타워맨션,부산,서구,26140,암남동,12400,614-5,,,35.07221287633281,129.0166213267262,normalized,1995,,,,,2026-08-13T07:46:26.247Z,2026-08-13T12:23:55.420Z
1999,26140-106,,송도탑스빌,송도탑스빌,부산,서구,26140,암남동,12400,255-1,,,35.07805684137256,129.0186364542687,normalized,2000,,,,,2026-08-13T07:46:23.247Z,2026-08-13T12:23:55.385Z
1950,26140-1062,,부백웨스턴타워,부백웨스턴타워,부산,서구,26140,서대신동3가,10600,288-4,,,35.11395109148918,129.0153683948036,normalized,2013,,,,,2026-08-13T07:43:38.727Z,2026-08-13T12:23:54.610Z
2004,26140-1099,,미소지음,미소지음,부산,서구,26140,동대신동1가,10100,320-3,,,35.1085539847062,129.022343952225,normalized,2013,,,,,2026-08-13T07:46:35.873Z,2026-08-13T12:23:56.858Z
1987,26140-110,,일원타워맨션,일원타워맨션,부산,서구,26140,암남동,12400,552-2,,,35.07362662842323,129.0139770496817,normalized,1992,,,,,2026-08-13T07:45:44.674Z,2026-08-13T12:23:55.193Z
2012,26140-1107,,부백자연애,부백자연애,부산,서구,26140,토성동3가,11400,4-3,,,35.10150121523687,129.0205709054106,normalized,2013,,,,,2026-08-13T07:46:58.152Z,2026-08-13T12:23:55.595Z
1955,26140-111,,전원비치맨션,전원비치맨션,부산,서구,26140,암남동,12400,602-5,,,35.07163915744364,129.0166554383679,normalized,1990,,,,,2026-08-13T07:43:46.255Z,2026-08-13T12:23:54.679Z
1948,26140-112,,송도정림비치타운,송도정림비치타운,부산,서구,26140,암남동,12400,64-2,,,35.08125840099568,129.0171948012188,normalized,1993,,,,,2026-08-13T07:43:35.666Z,2026-08-13T12:23:54.575Z
2034,26140-1145,,오션스카이블루,오션스카이블루,부산,서구,26140,서대신동2가,10500,14,,,35.11194166759664,129.0154647592156,normalized,2014,,,,,2026-08-13T07:48:30.368Z,2026-08-13T12:23:55.948Z
